,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
438,2018,1,Corrientes,56937,35225,888,1,33,94417
439,2018,1,Entre Ríos,106998,75751,3789,10,80,197394
440,2018,1,Formosa,23556,7095,17,1,57,32328
441,2018,1,Jujuy,33856,10456,23,28,43,44406
442,2018,1,La Pampa,10807,51389,8386,10,1,83064
443,2018,1,La Rioja,16960,34984,13,253,35,52245
444,2018,1,Mendoza,152931,36872,3086,6,1,200947
445,2018,1,Misiones,56311,46880,328,5,56,103580
446,2018,1,Neuquén,46714,55072,1000,12,2,117903
447,2018,1,Río Negro,68769,31712,1251,4,5,111119
448,2018,1,Salta,79936,51534,118,204,1,133183
449,2018,1,San Juan,54080,5068,826,2,1,63268
450,2018,1,San Luis,11104,7594,368,16,2,21396
451,2018,1,Santa Cruz,18615,4474,1799,6,2,34405
452,2018,1,Santa Fe,341997,300421,10674,11,15,680026
453,2018,1,Santiago Del Estero,26788,54594,23,1,81,82918
454,2018,1,Tierra Del Fuego,19372,9663,531,1,2,31614
455,2018,1,Tucumán,158611,8921,107,368,50,168057
456,2017,4,Buenos Aires,1241172,1718013,131181,60,31,3181896
457,2017,4,Capital Federal,571363,961688,36277,3,9,1582324
458,2017,4,Catamarca,27083,263,11,1,2,29558
459,2017,4,Chaco,55035,39690,389,380,1,96615
460,2017,4,Chubut,56378,15097,1187,14,6,93440
461,2017,4,Córdoba,349710,324709,12778,12,10,709979
462,2017,4,Corrientes,56786,34722,894,1,35,93771
463,2017,4,Entre Ríos,107764,73692,1894,10,86,193703
464,2017,4,Formosa,23410,6973,19,1,51,32056
465,2017,4,Jujuy,33844,9626,20,28,34,43552
